"Title","Description","Priority","Estimate","Status","Labels"
"Position assignment endpoints (assign, unassign, bulk)","**Ticket:** AUTH-T43  
**Epic:** E6 Positions  
**Phase:** Phase 2 — Admin, Primary Admin, positions, UI, SDK, VaultZ  
**Depends on:** AUTH-T42 (Positions CRUD: create, edit name/category, soft delete with retirement)

Admin endpoints to assign/unassign one or many positions to a user and to assign one position to many users. Enforce the 50-position cap, refuse deleted positions, ignore duplicates, emit POSITION_ASSIGNED / POSITION_UNASSIGNED per pair. Assignments are visible in the session endpoint on the next call (no caching in SGAuth).

**Acceptance criteria**
- [ ] Assigning the 51st position fails with `POSITION_LIMIT`.
- [ ] Bulk assign of 30 users is one transaction and one audit row per pair.","High","3","Backlog","epic:positions, phase:2, backend, positions, api"
"Seed the curated SGA position list","**Ticket:** AUTH-T44  
**Epic:** E6 Positions  
**Phase:** Phase 1 — Core auth, sessions, SSO (MVP)  
**Depends on:** AUTH-T11 (Positions schema: Position, UserPosition, and retired keys)

**Input received 2026-09-18:** `prisma/seed/positions.json` already exists in the repo with 82 positions (81 offices across 9 categories — Office of the President, Academic Affairs, Campus Affairs, Diversity Equity and Inclusion, External Affairs, Student Involvement, Student Success, Operational Affairs, Senate — plus `senator`). Keys were generated by slugifying the official names and validated against the key format and length rules. Upsert by key in the seed script (safe to run in every environment; never deletes; name/category updates are applied, keys never change). Include a validation test that every key matches the format and names are unique. Product-specific roles (e.g. `aplio-admin`) are **not** seeded; product owners create them in the admin UI when they integrate.
Key naming convention (document in the admin UI help and the integration guides): organization roles use bare keys (`vp-finance`, `senator`); product-specific roles are prefixed with the product slug (`aplio-admin`, `chambers-iems`) so keys never collide and products can grep their own.

**Acceptance criteria**
- [ ] Seed creates all 82 curated positions with zero holders; re-running is a no-op.
- [ ] A test loads `prisma/seed/positions.json` and asserts every key matches `^[a-z0-9]+(?:-[a-z0-9]+)*$`, is 2–64 chars, and that keys and names are unique.","Medium","1","Backlog","epic:positions, phase:1, backend, positions"
"Position propagation tests and forced re-login","**Ticket:** AUTH-T45  
**Epic:** E6 Positions  
**Phase:** Phase 2 — Admin, Primary Admin, positions, UI, SDK, VaultZ  
**Depends on:** AUTH-T43 (Position assignment endpoints (assign, unassign, bulk)); AUTH-T28 (Session endpoint for products: user, email, positions, admin flags); AUTH-T29 (ES256 JWTs with JWKS and OIDC discovery for Supabase-backed products)

Tests: after assign/unassign/delete, the very next `/api/sgauth/session` call reflects the change; a JWT minted before the change stays valid until expiry (≤10 min) and a new token reflects it. Add an admin action 'Force re-login' (revoke all sessions of a user) surfaced in the UI as the way to invalidate outstanding JWTs immediately. Document the staleness model in the integration guides.

**Acceptance criteria**
- [ ] Automated tests demonstrate immediate propagation for the session endpoint and bounded staleness for JWTs.
- [ ] Guides contain a 'Propagation and staleness' section.","Medium","2","Backlog","epic:positions, phase:2, testing, positions, sso"
"Position history queries","**Ticket:** AUTH-T46  
**Epic:** E6 Positions  
**Phase:** Phase 3 — Hardening, observability, Chambers  
**Depends on:** AUTH-T42 (Positions CRUD: create, edit name/category, soft delete with retirement); AUTH-T73 (Audit event catalog, emitter, and coverage test)

Endpoints returning the audit trail for a position (who was assigned/unassigned, renames, deletion) and for a user (all position changes), backed by AuditEvent indexes. Used by the admin UI detail pages.

**Acceptance criteria**
- [ ] Both queries paginate and return within 200 ms for 10k events on the test branch.","Low","2","Backlog","epic:positions, phase:3, backend, positions, audit"
"App shell, navigation, and route guards for /admin and /account","**Ticket:** AUTH-T47  
**Epic:** E7 Admin UI & Account UI  
**Phase:** Phase 2 — Admin, Primary Admin, positions, UI, SDK, VaultZ  
**Depends on:** AUTH-T25 (Login, sign-up, forgot/reset, and verify pages); AUTH-T28 (Session endpoint for products: user, email, positions, admin flags)

Next.js App Router layouts: `(auth)` public pages, `(app)` authenticated pages with a header (user menu, sign out, sign out everywhere), `/account` for all users, `/admin` visible only to admins (server-side guard using `can()`; non-admins get 404). shadcn/ui components, light/dark via next-themes, SGA branding tokens. Toasts via sonner. Loading and error boundaries.

**Acceptance criteria**
- [ ] Non-admin visiting `/admin` receives a 404 page; admin sees the dashboard.
- [ ] Layout works at 360 px and 1440 px; axe reports no serious violations.","High","3","Backlog","epic:ui, phase:2, frontend, ui"
"Admin: users list and user detail pages","**Ticket:** AUTH-T48  
**Epic:** E7 Admin UI & Account UI  
**Phase:** Phase 2 — Admin, Primary Admin, positions, UI, SDK, VaultZ  
**Depends on:** AUTH-T47 (App shell, navigation, and route guards for /admin and /account); AUTH-T36 (Admin user-management endpoints); AUTH-T43 (Position assignment endpoints (assign, unassign, bulk))

Users list with search, filters (status, admin, position), pagination, and an 'Invited' badge. User detail: profile fields (editable), positions (assign/unassign with a searchable multi-select), admin toggle (disabled for self and PA with tooltip reason from `can()`), deactivate/reactivate, unlock, resend invite, sessions list with revoke, force re-login, and the user's audit timeline. Re-auth modal appears when the API returns REAUTH_REQUIRED.

**Acceptance criteria**
- [ ] Every action shows success/failure toasts and refreshes data; disabled controls explain why.
- [ ] Playwright test: admin assigns a position, the user's session endpoint reflects it.","High","5","Backlog","epic:ui, phase:2, frontend, ui, admin"
"Admin: positions pages","**Ticket:** AUTH-T49  
**Epic:** E7 Admin UI & Account UI  
**Phase:** Phase 2 — Admin, Primary Admin, positions, UI, SDK, VaultZ  
**Depends on:** AUTH-T47 (App shell, navigation, and route guards for /admin and /account); AUTH-T42 (Positions CRUD: create, edit name/category, soft delete with retirement)

List (with holder counts and category grouping), create dialog (key auto-suggested from name, editable before save, immutable after), edit page (name, category, description; key shown read-only with an explanation), delete dialog showing holder count and requiring the key to be typed, and a 'deleted positions' tab with history.

**Acceptance criteria**
- [ ] Key input rejects invalid characters live and shows the format rule.
- [ ] Delete dialog blocks submission until the typed key matches.","High","3","Backlog","epic:ui, phase:2, frontend, ui, positions"
"Admin: product registry pages","**Ticket:** AUTH-T50  
**Epic:** E7 Admin UI & Account UI  
**Phase:** Phase 2 — Admin, Primary Admin, positions, UI, SDK, VaultZ  
**Depends on:** AUTH-T47 (App shell, navigation, and route guards for /admin and /account); AUTH-T56 (Product registry service: trusted origins and redirect allowlist at runtime)

CRUD pages for products (name, slug, base URL, description, icon URL, active, sort order, visible-to-positions). Show which trusted origins and redirect targets the registry currently yields.

**Acceptance criteria**
- [ ] Adding a product makes its origin trusted and its URL appear on account pages without a deploy (verified on dev).","Medium","2","Backlog","epic:ui, phase:2, frontend, ui, registry"
"Admin: audit log viewer with filters and CSV export","**Ticket:** AUTH-T51  
**Epic:** E7 Admin UI & Account UI  
**Phase:** Phase 3 — Hardening, observability, Chambers  
**Depends on:** AUTH-T47 (App shell, navigation, and route guards for /admin and /account); AUTH-T73 (Audit event catalog, emitter, and coverage test)

Table of AuditEvents with filters (type, actor, target, date range), detail drawer for metadata, and CSV export of the filtered set (server-streamed, capped at 50k rows).

**Acceptance criteria**
- [ ] Filtering by a user shows both events they performed and events targeting them.
- [ ] Export matches the on-screen filter.","Medium","3","Backlog","epic:ui, phase:3, frontend, ui, audit"
"Admin: Primary Admin transfer wizard, status, acceptance, and cancel pages","**Ticket:** AUTH-T52  
**Epic:** E7 Admin UI & Account UI  
**Phase:** Phase 2 — Admin, Primary Admin, positions, UI, SDK, VaultZ  
**Depends on:** AUTH-T47 (App shell, navigation, and route guards for /admin and /account); AUTH-T37 (Primary Admin transfer flow (re-auth, recipient acceptance, 24-hour cancel window))

PA-only wizard: full-screen warning explaining consequences, recipient selection limited to eligible admins (MFA enrolled), typed email confirmation, re-auth step, summary. Status card on the admin dashboard while a transfer is in flight (with cancel). Recipient acceptance page (`/admin/transfer/accept/[id]`) with re-auth and decline. Public cancel page for the emailed token. Completion banner for all admins.

**Acceptance criteria**
- [ ] Wizard cannot be completed without typing the exact recipient email and passing re-auth.
- [ ] Ineligible recipients (no MFA, not admin, deactivated) are not selectable and the reason is shown.","High","3","Backlog","epic:ui, phase:2, frontend, ui, admin"
"Account page: profile, positions, product links, sessions, sign out everywhere","**Ticket:** AUTH-T53  
**Epic:** E7 Admin UI & Account UI  
**Phase:** Phase 2 — Admin, Primary Admin, positions, UI, SDK, VaultZ  
**Depends on:** AUTH-T47 (App shell, navigation, and route guards for /admin and /account); AUTH-T33 (List and revoke the user's own sessions); AUTH-T56 (Product registry service: trusted origins and redirect allowlist at runtime)

`/account`: edit name and preferredName; read-only list of positions (key and name); 'Your SGA tools' grid of active products from the registry filtered by `visibleToPositionKeys` with links to each product (this is the hub users land on after login without a redirect); sessions list with per-device revoke and 'Sign out everywhere'; links to security settings.

**Acceptance criteria**
- [ ] A user with no positions sees only products visible to everyone.
- [ ] Revoking another device's session removes it from the list and that device gets 401.","High","3","Backlog","epic:ui, phase:2, frontend, ui"
"Account security page: change password, MFA enrollment, backup codes","**Ticket:** AUTH-T54  
**Epic:** E7 Admin UI & Account UI  
**Phase:** Phase 3 — Hardening, observability, Chambers  
**Depends on:** AUTH-T23 (Change password (current password + re-auth), revoke other sessions); AUTH-T67 (TOTP multi-factor authentication (optional for users, required for admins and the Primary Admin))

`/account/security`: change password form; TOTP enrollment (QR + manual secret, verify code, download/copy backup codes once), regenerate backup codes, disable MFA (re-auth; disallowed for admins and PA with explanation). Show 'MFA required for admins' banner and block admin pages until enrolled.

**Acceptance criteria**
- [ ] An admin without MFA is redirected to enrollment when opening `/admin`.
- [ ] Backup codes are shown once; using one logs a security notice.","High","3","Backlog","epic:ui, phase:3, frontend, ui, security"
"Accessibility, responsive, and empty/error state pass","**Ticket:** AUTH-T55  
**Epic:** E7 Admin UI & Account UI  
**Phase:** Phase 3 — Hardening, observability, Chambers  
**Depends on:** AUTH-T48 (Admin: users list and user detail pages); AUTH-T49 (Admin: positions pages); AUTH-T53 (Account page: profile, positions, product links, sessions, sign out everywhere); AUTH-T54 (Account security page: change password, MFA enrollment, backup codes)

Audit every page with axe and keyboard-only navigation; add empty states, loading skeletons, and error states; verify focus management in dialogs; confirm color contrast in both themes.

**Acceptance criteria**
- [ ] axe: zero serious/critical issues on all pages; documented checklist completed.","Medium","2","Backlog","epic:ui, phase:3, frontend, ui, a11y"
"Product registry service: trusted origins and redirect allowlist at runtime","**Ticket:** AUTH-T56  
**Epic:** E8 Product Registry & SDK  
**Phase:** Phase 1 — Core auth, sessions, SSO (MVP)  
**Depends on:** AUTH-T14 (Product registry schema)

`src/lib/products.ts`: loads active products (cached in-memory for 60 s, invalidated on write), exposes `getTrustedOrigins()` (product origins + SGAuth origin + local dev origins when `SGAUTH_ENV=local`) fed to Better Auth's `trustedOrigins` as a function, and `isAllowedRedirect(url)` used by AUTH-T31 and AUTH-T30. If the registry query fails, fall back to a static list containing only SGAuth's own origin (fail closed for products, but SGAuth's own pages keep working). Never trust `*.vercel.app` and never use a wildcard `https://*.northeasternsga.com` (it would trust dangling subdomains).

**Acceptance criteria**
- [ ] Adding a product on dev makes cross-origin POSTs from its origin pass Better Auth's origin check within 60 s; removing it makes them fail.
- [ ] Unit tests for origin normalization (trailing slash, port, case).","High","2","Backlog","epic:sdk, phase:1, backend, registry, security"
"Scaffold the @sgaoperations/sgauth package and publish pipeline (public npm)","**Ticket:** AUTH-T57  
**Epic:** E8 Product Registry & SDK  
**Phase:** Phase 2 — Admin, Primary Admin, positions, UI, SDK, VaultZ  
**Depends on:** AUTH-T28 (Session endpoint for products: user, email, positions, admin flags)

New repo `SGAOperations/sgauth-sdk` (TypeScript, tsup, vitest, ESM+CJS, Node 20+). Publish to the **public npm registry** under the `@sgaoperations` org scope (claim the scope on npmjs.com; the SDK contains no secrets, only calls to public SGAuth endpoints with the user's cookie). GitHub Packages was rejected because it requires a classic personal access token to install even public packages. Use npm **trusted publishing** (OIDC from GitHub Actions) so no long-lived npm token exists; publish on `v*` tags; semantic versioning; `CHANGELOG.md`; provenance attestations enabled.

**Acceptance criteria**
- [ ] `npm install @sgaoperations/sgauth` works from any product repo with no `.npmrc` changes.
- [ ] CI publishes on `v*` tags via trusted publishing and fails on version collisions; the package page shows provenance.","High","3","Backlog","epic:sdk, phase:2, sdk, infra"
"SDK: getSession() with cookie forwarding and a 60-second cache","**Ticket:** AUTH-T58  
**Epic:** E8 Product Registry & SDK  
**Phase:** Phase 2 — Admin, Primary Admin, positions, UI, SDK, VaultZ  
**Depends on:** AUTH-T57 (Scaffold the @sgaoperations/sgauth package and publish pipeline (public npm))

`getSession({ headers | cookieHeader })`: extracts the SGAuth cookie (name from `SGAUTH_COOKIE_NAME`, default `__Secure-sgauth.session_token`), calls `{SGAUTH_URL}/api/sgauth/session` with the `Cookie` header, returns a typed `SgaSession | null`. In-memory LRU cache keyed by SHA-256 of the token, TTL 60 s (configurable, max 300 s), negative cache 10 s. **Availability:** SGAuth is a single point of failure for every product, so on network error or 5xx the SDK serves a previously cached session for that token for up to `staleIfErrorSeconds` (default 300, max 900) and calls `onError`; with no cached entry it returns null (fail closed). Timeout 3 s. Never caches 5xx as a session. Products must never log the forwarded Cookie header (documented). Ships the JSON schema types from AUTH-T28.

**Acceptance criteria**
- [ ] Unit tests with a mocked fetch: cache hit/miss, TTL expiry, 401 → null, timeout with cached entry → stale session + onError, timeout without cache → null + onError.
- [ ] Revocation observed within 60 s in an integration test against dev.","High","3","Backlog","epic:sdk, phase:2, sdk, sso"
"SDK: Next.js helpers (proxy/middleware, requireSession, position guards, URLs)","**Ticket:** AUTH-T59  
**Epic:** E8 Product Registry & SDK  
**Phase:** Phase 2 — Admin, Primary Admin, positions, UI, SDK, VaultZ  
**Depends on:** AUTH-T58 (SDK: getSession() with cookie forwarding and a 60-second cache)

Exports: `createSgaProxy({ publicPaths })` for Next.js `proxy.ts`/`middleware.ts` that **only checks for the presence of the SGAuth cookie** (no network call, no per-request latency) and redirects to `loginUrl(currentUrl)` when absent; real validation happens in server code via `requireSession()` (throws/redirects on an invalid or revoked cookie). `hasPosition(session, key)`, `hasAnyPosition(session, keys)`, `hasAllPositions`, `isAdmin(session)`; `loginUrl(redirect)`, `logoutUrl(redirect)`, `accountUrl()`. React cache() wrapper for server components so one request resolves the session once. Document why the proxy must not call SGAuth: middleware runs per request and per instance, so a network round trip there adds latency to every page and defeats the cache.

**Acceptance criteria**
- [ ] Example app in the repo demonstrates a protected page, a position-gated action, and logout.
- [ ] Helpers never run in the browser (server-only guard) except the URL builders.","High","3","Backlog","epic:sdk, phase:2, sdk, sso"
"SDK: getAccessToken() for Supabase clients","**Ticket:** AUTH-T60  
**Epic:** E8 Product Registry & SDK  
**Phase:** Phase 3 — Hardening, observability, Chambers  
**Depends on:** AUTH-T58 (SDK: getSession() with cookie forwarding and a 60-second cache); AUTH-T29 (ES256 JWTs with JWKS and OIDC discovery for Supabase-backed products)

`getAccessToken({ headers })` calls `/api/auth/token` with the forwarded cookie and caches the JWT until `exp - 60 s` keyed by session token hash. Provide `createSupabaseAccessTokenProvider()` returning the `accessToken` callback shape supabase-js expects, and a browser-safe variant that calls a product-side route which proxies to SGAuth (so the token never requires exposing SGAuth cookies to client JS).

**Acceptance criteria**
- [ ] Token refresh happens before expiry in a long-running test; a revoked session stops yielding tokens at the next refresh.","Medium","2","Backlog","epic:sdk, phase:3, sdk, supabase, jwt"
"SDK documentation, example app, and versioning policy","**Ticket:** AUTH-T61  
**Epic:** E8 Product Registry & SDK  
**Phase:** Phase 2 — Admin, Primary Admin, positions, UI, SDK, VaultZ  
**Depends on:** AUTH-T59 (SDK: Next.js helpers (proxy/middleware, requireSession, position guards, URLs))

README with install (public npm, no registry config), env vars (`SGAUTH_URL`, `SGAUTH_COOKIE_NAME`), quick start, API reference (typedoc), dev/preview topology (AUTH-T34), the stale-if-error behavior and its bound, upgrade notes, and a support policy (latest two minors).

**Acceptance criteria**
- [ ] A new product can integrate using only the README (validated by the VaultZ integration).","Medium","2","Backlog","epic:sdk, phase:2, sdk, docs"
"CORS for browser-side calls from registered products","**Ticket:** AUTH-T62  
**Epic:** E8 Product Registry & SDK  
**Phase:** Phase 3 — Hardening, observability, Chambers  
**Depends on:** AUTH-T56 (Product registry service: trusted origins and redirect allowlist at runtime); AUTH-T28 (Session endpoint for products: user, email, positions, admin flags)

Allow client components on registered product origins to call `/api/sgauth/session`, `/api/auth/token`, and `/api/auth/sign-out` with `credentials: 'include'`: dynamic `Access-Control-Allow-Origin` echoing only registry origins, `Allow-Credentials: true`, `Vary: Origin`, preflight handling, no wildcard. Server-side calls remain the recommended path.

**Acceptance criteria**
- [ ] Preflight from an unregistered origin gets no CORS headers; from a registered one it succeeds with credentials.","Medium","2","Backlog","epic:sdk, phase:3, backend, security, sso"
"Upstash Redis rate limiting on auth and token endpoints","**Ticket:** AUTH-T63  
**Epic:** E9 Security Hardening  
**Phase:** Phase 1 — Core auth, sessions, SSO (MVP)  
**Depends on:** AUTH-T03 (Install Better Auth 1.7 with the Prisma adapter and mount the handler); AUTH-T07 (Validate environment variables at startup with zod)

Use `@upstash/ratelimit` (sliding window) inside the handlers for **mutating and expensive endpoints only**: sign-in 10/min and 50/hour per IP; sign-up 5/hour per IP; forgot-password 3/10 min per IP and per email; verification resend 3/hour per email; token endpoint 60/min per session; re-auth 5/min per user; admin mutations 100/min per user. The **session endpoint is not Redis-limited** (the Upstash free tier is 500K commands/month and the session endpoint is the hot path); it relies on the SDK cache, Vercel's platform protections, and a cheap in-process token bucket. Disable Better Auth's built-in limiter. **On Upstash outage: fail open everywhere with a logged alert** (decision: an Upstash outage must never become an org-wide login outage); the DB-backed account lockout (AUTH-T64) remains the brute-force backstop. Return 429 with `Retry-After`. Budget: estimate monthly Redis commands from expected logins and document the alert threshold at 80% of the free quota.

**Acceptance criteria**
- [ ] Automated tests hit each limit and observe 429 + `Retry-After`; limits reset after the window.
- [ ] With Upstash unreachable (fake), sign-in still succeeds and an alert-level log line is emitted.
- [ ] Upstash keys are namespaced per environment (`sgauth:prod:`, `sgauth:dev:`).","High","3","Backlog","epic:security, phase:1, backend, security, infra"
"Escalating account lockout with emailed unlock and known-device exemption","**Ticket:** AUTH-T64  
**Epic:** E9 Security Hardening  
**Phase:** Phase 1 — Core auth, sessions, SSO (MVP)  
**Depends on:** AUTH-T15 (Security tables: AccountLock, UnlockToken, Jwks, TwoFactor); AUTH-T17 (Email + password sign-in and self-sign-up restricted to northeastern.edu); AUTH-T20 (Email infrastructure: Resend on a dedicated SGAuth sending domain with volume caps); AUTH-T103 (Scanner-safe email links: land on a page, consume the token on POST)

Track failed password attempts per account (AccountLock). 5 failures within 15 minutes → lock 15 min; each subsequent lock doubles (30 min, 1 h, 2 h, … capped at 24 h); never permanent. **Known-device exemption (red-team):** a plain lockout lets anyone who knows an admin's email lock them out indefinitely. After every successful login SGAuth sets a signed, HttpOnly `__Secure-sgauth.device` cookie (host-only on auth.northeasternsga.com, 1-year, hashed in KnownDevice). Sign-in attempts that carry a valid known-device cookie for that account are exempt from the account lock (they remain subject to IP rate limits and their own separate 5-per-15-min counter); attempts without one count toward and are blocked by the lock. Attackers cannot obtain the cookie without a successful login. While locked, sign-in returns the same generic error as wrong password; the locked-account email tells the real owner what happened. On lock: email the user an unlock link (page + POST, AUTH-T103; single-use, 1 h) and a security notice; audit ACCOUNT_LOCKED / ACCOUNT_UNLOCKED. Successful login or password reset resets counters; lock level decays after 24 h clean. Applies to the Primary Admin. Admins can unlock from the UI.

**Acceptance criteria**
- [ ] Sixth attempt within the window from an unknown device is refused even with the correct password; the unlock link restores access.
- [ ] The same account signing in from a browser holding a valid known-device cookie succeeds while the account is locked for unknown devices.
- [ ] Lock durations escalate and cap at 24 h (time-travel test).
- [ ] Unknown emails do not produce different responses or timing.","High","5","Backlog","epic:security, phase:1, backend, security, email"
"CSRF and origin enforcement across subdomains","**Ticket:** AUTH-T65  
**Epic:** E9 Security Hardening  
**Phase:** Phase 1 — Core auth, sessions, SSO (MVP)  
**Depends on:** AUTH-T56 (Product registry service: trusted origins and redirect allowlist at runtime); AUTH-T26 (Parent-domain session cookie for *.northeasternsga.com)

Because the cookie is shared with every subdomain and SameSite=Lax still sends it on same-site POSTs from sibling subdomains, SGAuth must verify the `Origin` (fallback `Referer`) header on every state-changing request against the registry-derived trusted origins (Better Auth does this for its routes; extend the check to all `/api/sgauth/*` mutations). Reject missing Origin on non-GET. Add `Sec-Fetch-Site` checks as defense in depth.

**Acceptance criteria**
- [ ] A POST to `/api/sgauth/admin/users` with `Origin: https://unregistered.northeasternsga.com` and a valid cookie is rejected 403.
- [ ] Same POST from a registered product origin succeeds.","High","2","Backlog","epic:security, phase:1, backend, security, sso"
"Security headers (CSP, HSTS, frame, referrer)","**Ticket:** AUTH-T66  
**Epic:** E9 Security Hardening  
**Phase:** Phase 2 — Admin, Primary Admin, positions, UI, SDK, VaultZ  
**Depends on:** AUTH-T05 (Create the Vercel project, custom domains, environments, and Neon preview branching)

Set via `next.config.ts` headers: strict CSP (self + PostHog host, nonce for inline scripts), `X-Frame-Options: DENY`, `Referrer-Policy: strict-origin-when-cross-origin`, `X-Content-Type-Options: nosniff`, `Permissions-Policy` minimal. HSTS: `max-age=31536000` on auth.northeasternsga.com **without** `includeSubDomains`/`preload` unless every SGA subdomain is confirmed HTTPS-only (flag for the team; enabling it at the apex affects all products).

**Acceptance criteria**
- [ ] securityheaders.com grade A on production; CSP violations reported to PostHog or a report-only endpoint first for one week.","Medium","2","Backlog","epic:security, phase:2, backend, security"
"TOTP multi-factor authentication (optional for users, required for admins and the Primary Admin)","**Ticket:** AUTH-T67  
**Epic:** E9 Security Hardening  
**Phase:** Phase 2 — Admin, Primary Admin, positions, UI, SDK, VaultZ  
**Depends on:** AUTH-T15 (Security tables: AccountLock, UnlockToken, Jwks, TwoFactor); AUTH-T17 (Email + password sign-in and self-sign-up restricted to northeastern.edu)

Add the Better Auth `twoFactor` plugin (TOTP + backup codes; no SMS/email OTP). Login flow: after password, if enrolled, prompt for a 6-digit code or backup code; 'trust this device' is NOT enabled (keep it simple and consistent with sessions). Enforcement: users with `isAdmin` must have MFA to access admin endpoints/pages (403 `MFA_REQUIRED` → enrollment redirect); granting admin to a user without MFA is allowed but they are locked out of admin functions until enrolled; the PA transfer recipient must be enrolled. Backup codes hashed; regeneration invalidates old ones; audit MFA_ENROLLED / MFA_DISABLED / MFA_BACKUP_USED.

**Acceptance criteria**
- [ ] Enrolled user must present a valid TOTP; replayed codes within the same step are rejected.
- [ ] Admin without MFA cannot call any admin endpoint; after enrollment the same call succeeds.
- [ ] Disabling MFA requires re-auth and is refused for admins/PA.","High","5","Backlog","epic:security, phase:2, backend, security, better-auth"
"Subdomain hygiene: DNS inventory, dangling-record removal, and policy","**Ticket:** AUTH-T68  
**Epic:** E9 Security Hardening  
**Phase:** Phase 2 — Admin, Primary Admin, positions, UI, SDK, VaultZ  
**Depends on:** AUTH-T26 (Parent-domain session cookie for *.northeasternsga.com)

Because the session cookie is readable by every `*.northeasternsga.com` host, inventory all DNS records for the domain, remove or reclaim records that point at unowned Vercel/other targets (subdomain takeover), and write `docs/SUBDOMAIN_POLICY.md`: only products in the SGAuth registry may receive a subdomain; wildcard records are prohibited; third-party services get a separate domain. Add a quarterly checklist item.

**Acceptance criteria**
- [ ] Inventory spreadsheet/link attached; zero dangling records; policy merged and linked from the architecture doc.","Medium","2","Backlog","epic:security, phase:2, infra, security, docs"
"Secrets management and rotation procedures","**Ticket:** AUTH-T69  
**Epic:** E9 Security Hardening  
**Phase:** Phase 2 — Admin, Primary Admin, positions, UI, SDK, VaultZ  
**Depends on:** AUTH-T05 (Create the Vercel project, custom domains, environments, and Neon preview branching); AUTH-T29 (ES256 JWTs with JWKS and OIDC discovery for Supabase-backed products)

Document and script rotation for `BETTER_AUTH_SECRET` (invalidates cookie signatures → all users re-login; schedule in a low-usage window), Resend key, Upstash token, Neon passwords, `CRON_SECRET`, and the **manual JWKS rotation** (AUTH-T29): (1) generate the new ES256 key pair in the Jwks table without switching signing; (2) run `scripts/supabase-push-jwks.ts` to PUT the combined JWKS into each Supabase project's third-party integration via `custom_jwks` (Management API) and confirm `resolved_jwks`; (3) switch signing to the new key; (4) after 7 days remove the old key and push again. Ensure secrets are scoped per Vercel environment and never printed in logs or preview builds.

**Acceptance criteria**
- [ ] `docs/runbooks/rotate-secrets.md` exists and a dry run of the JWKS rotation on dev against a throwaway Supabase project produces zero token rejections during the switch.","Medium","1","Backlog","epic:security, phase:2, infra, security, docs"
"Account-enumeration resistance and timing uniformity","**Ticket:** AUTH-T70  
**Epic:** E9 Security Hardening  
**Phase:** Phase 1 — Core auth, sessions, SSO (MVP)  
**Depends on:** AUTH-T17 (Email + password sign-in and self-sign-up restricted to northeastern.edu); AUTH-T19 (Password reset flow)

Ensure sign-in, forgot-password, sign-up, and verification-resend responses do not reveal whether an email exists (identical bodies and status codes). Better Auth already returns success for a duplicate sign-up when `requireEmailVerification` is on; verify that path and add the unverified-account overwrite from AUTH-T17. Add a dummy hash comparison on unknown-email sign-in to equalize timing.

**Acceptance criteria**
- [ ] Tests assert identical response bodies and status codes across known/unknown emails for each endpoint; a non-gating benchmark script reports timing deltas (a hard 50 ms CI assertion was rejected as flaky).","Medium","2","Backlog","epic:security, phase:1, backend, security, testing"
"Dependency and code scanning","**Ticket:** AUTH-T71  
**Epic:** E9 Security Hardening  
**Phase:** Phase 3 — Hardening, observability, Chambers  
**Depends on:** AUTH-T06 (Update CI: typecheck, lint, format, migrations check, and tests on a Neon test branch)

Enable Dependabot (npm, weekly, grouped), `npm audit --audit-level=high` in CI, and GitHub CodeQL for JavaScript/TypeScript on PRs.

**Acceptance criteria**
- [ ] All three run on the repo; a seeded vulnerable dependency fails CI in a test PR.","Low","1","Backlog","epic:security, phase:3, ci, security"
"Threat model and pre-launch security review checklist","**Ticket:** AUTH-T72  
**Epic:** E9 Security Hardening  
**Phase:** Phase 2 — Admin, Primary Admin, positions, UI, SDK, VaultZ  
**Depends on:** AUTH-T26 (Parent-domain session cookie for *.northeasternsga.com); AUTH-T29 (ES256 JWTs with JWKS and OIDC discovery for Supabase-backed products); AUTH-T35 (Authorization module with the admin/Primary Admin rule matrix)

Write `docs/THREAT_MODEL.md` (STRIDE-lite) covering: shared-cookie exposure and subdomain takeover, session fixation/replay, JWT misuse by Supabase products, admin abuse and self-escalation, PA transfer hijack, break-glass misuse, email link phishing, rate-limit bypass, Neon credential leakage. For each: mitigation and residual risk. Derive a pre-launch checklist executed in AUTH-T91.

**Acceptance criteria**
- [ ] Document reviewed by at least two team members; every residual risk has an owner or an accepted-risk note.","Medium","3","Backlog","epic:security, phase:2, docs, security"
"Audit event catalog, emitter, and coverage test","**Ticket:** AUTH-T73  
**Epic:** E10 Observability & Audit  
**Phase:** Phase 1 — Core auth, sessions, SSO (MVP)  
**Depends on:** AUTH-T13 (Append-only AuditEvent table)

`src/lib/audit.ts`: a typed catalog (LOGIN_SUCCESS, LOGIN_FAILED, LOGOUT, SESSION_REVOKED, SESSIONS_REVOKED, PASSWORD_RESET_REQUESTED, PASSWORD_RESET, PASSWORD_CHANGED, PASSWORD_REHASHED, EMAIL_VERIFIED, USER_CREATED, USER_INVITED, USER_DEACTIVATED, USER_REACTIVATED, USER_DELETED, ADMIN_GRANTED, ADMIN_REVOKED, POSITION_CREATED/UPDATED/DELETED/ASSIGNED/UNASSIGNED, PRODUCT_CREATED/UPDATED/DELETED, PA_TRANSFER_*, BREAK_GLASS_PA_RECOVERY, ACCOUNT_LOCKED/UNLOCKED, MFA_*, BULK_IMPORT, JWKS_ROTATED) and `audit(event)` that captures actor, IP, UA from request context and writes inside the caller's transaction when one is open. Add a test that every mutating endpoint emits at least one audit event (route table cross-checked against catalog usage).

**Acceptance criteria**
- [ ] Catalog is the single source for the DB CHECK constraint (generated migration).
- [ ] Coverage test fails when a new mutating route is added without an audit call.","High","3","Backlog","epic:observability, phase:1, backend, audit"
